X,Y,OBJECTID,LOCATION,RECYCLABLE,Lat,Long,EastITM,NorthITM,EastIG,NorthIG
-9.104600012589737,53.262472165778256,1,Joyces Knocknacarra,Glass,53.263,-9.105,526265.906,724165.855,126299.228,224136.428
-9.073531663370176,53.259711101723688,2,"Toft Park, Salthill Aquarium",Glass & Textiles,53.26,-9.074,528333.708,723827.097,128367.477,223797.61
-9.076540600104147,53.276289895814678,3,Westside Shopping Centre,Glass & Textiles,53.277,-9.077,528160.767,725674.54,128194.493,225645.448
-9.042453317342229,53.276092597532831,4,"City Hall, College Road",Glass & Textiles,53.276,-9.043,530433.513,725618.882,130467.73,225589.792
-9.050600456160197,53.277994156169719,5,Dyke Road Car Park,Glass & Textiles,53.278,-9.051,529893.339,725838.393,129927.438,225809.346
-9.047289355134019,53.280921528644399,6,Galway Shopping Centre- Tesco,Glass & Textiles,53.281,-9.048,530118.9,726160.829,130153.047,226131.853
-9.036668204270322,53.286195343630354,7,"Galway City Council Depot, Lisbaun Ind Estate","Glass, Textiles, Liquids, Batteries, Light Bulbs, WEEE, Large Hard Plastics, Waste Metals, Timber",53.286,-9.037,530835.595,726737.226,130869.894,226708.378
-9.045396965163491,53.28416137133889,8,"Terryland, Dunnes Stores",Glass & Textiles,53.284,-9.046,530250.351,726519.422,130284.526,226490.523
-9.011452955348092,53.285362829734133,9,Ballybane Shopping Centre,Glass & Textiles,53.286,-9.012,532515.346,726620.508,132550.009,226591.644
-9.014816641260293,53.275349456250957,10,"Renmore, beside Kingfisher Club",Glass & Textiles,53.276,-9.015,532275.269,725509.672,132309.883,225480.569
-8.985624445593389,53.287666816226157,11,"Doughiska, Centra",Glass & Textiles,53.288,-8.986,534240.867,726852.764,134275.902,226823.961
-9.100005661237697,53.270146467828731,12,Western Distributor Road,Glass & Textiles,53.27,-9.101,526585.513,725014.907,126618.901,224985.664
